estacion,fecha,cantidad_pasos
alberdi,11/25/2017,9582
alberdi,11/26/2017,7634
alberdi,11/27/2017,10726
alberdi,11/28/2017,10794
alberdi,11/29/2017,10998
alberdi,11/30/2017,10919
alberdi,12/1/2017,11585
alberdi,12/2/2017,10204
alberdi,12/3/2017,7092
alberdi,12/4/2017,10322
alberdi,12/5/2017,9969
alberdi,12/6/2017,11531
alberdi,12/7/2017,11628
alberdi,12/8/2017,7419
alberdi,12/9/2017,9913
alberdi,12/10/2017,8462
alberdi,12/11/2017,12687
alberdi,12/12/2017,12531
alberdi,12/13/2017,10331
alberdi,12/14/2017,11552
alberdi,12/15/2017,11500
alberdi,12/16/2017,9807
alberdi,12/17/2017,7841
alberdi,12/18/2017,11348
alberdi,12/19/2017,11643
alberdi,12/20/2017,11107
alberdi,12/21/2017,11628
alberdi,12/22/2017,11325
alberdi,12/23/2017,9857
alberdi,12/24/2017,5719
alberdi,12/25/2017,7079
alberdi,12/26/2017,10419
alberdi,12/27/2017,10613
alberdi,12/28/2017,11502
alberdi,12/29/2017,10471
alberdi,12/30/2017,7368
alberdi,12/31/2017,4554
alberdi,1/1/2018,6494
alberdi,1/2/2018,10335
alberdi,1/3/2018,9425
alberdi,1/4/2018,9770
alberdi,1/5/2018,10273
alberdi,1/6/2018,7658
alberdi,1/7/2018,5636
alberdi,1/8/2018,9541
alberdi,1/9/2018,9452
alberdi,1/10/2018,9441
alberdi,1/11/2018,9651
alberdi,1/12/2018,9619
alberdi,1/13/2018,7528
alberdi,1/14/2018,5779
alberdi,1/15/2018,9327
alberdi,1/16/2018,9461
alberdi,1/17/2018,9311
alberdi,1/18/2018,9514
alberdi,1/19/2018,9656
alberdi,1/20/2018,7290
alberdi,1/21/2018,5528
alberdi,1/22/2018,9648
alberdi,1/23/2018,9306
alberdi,1/24/2018,9542
alberdi,1/25/2018,9940
alberdi,1/26/2018,10062
alberdi,1/27/2018,7598
alberdi,1/28/2018,6080
alberdi,1/29/2018,9642
alberdi,1/30/2018,10292
alberdi,1/31/2018,10015
alberdi,2/1/2018,9981
alberdi,2/2/2018,10443
alberdi,2/3/2018,7533
alberdi,2/4/2018,6210
alberdi,2/5/2018,9972
alberdi,2/6/2018,10103
alberdi,2/7/2018,9883
alberdi,2/8/2018,10332
alberdi,2/9/2018,10356
alberdi,2/10/2018,7413
alberdi,2/11/2018,5432
alberdi,2/12/2018,5698
alberdi,2/13/2018,6253
alberdi,2/14/2018,11450
alberdi,2/15/2018,10715
alberdi,2/16/2018,10752
alberdi,2/17/2018,8074
alberdi,2/18/2018,6097
alberdi,2/19/2018,9986
alberdi,2/20/2018,10410
alberdi,2/21/2018,11537
alberdi,2/22/2018,10119
alberdi,2/23/2018,11494
alberdi,2/24/2018,8597
alberdi,2/25/2018,6704
alberdi,2/26/2018,10009
alberdi,2/27/2018,10941
alberdi,2/28/2018,11334
alberdi,3/1/2018,11087
alberdi,3/2/2018,11612
alberdi,3/3/2018,9234
alberdi,3/4/2018,6834
alberdi,3/5/2018,10716
alberdi,3/6/2018,10713
alberdi,3/7/2018,10680
alberdi,3/8/2018,11902
alberdi,3/9/2018,11741
alberdi,3/10/2018,9724
alberdi,3/11/2018,6901
alberdi,3/12/2018,10573
alberdi,3/13/2018,10307
alberdi,3/14/2018,10606
alberdi,3/15/2018,10996
alberdi,3/16/2018,11372
alberdi,3/17/2018,9046
alberdi,3/18/2018,5992
alberdi,3/19/2018,10720
alberdi,3/20/2018,10984
alberdi,3/21/2018,11009
alberdi,3/22/2018,10934
alberdi,3/23/2018,11407
alberdi,3/24/2018,9640
alberdi,3/25/2018,7747
alberdi,3/26/2018,10881
alberdi,3/27/2018,10904
alberdi,3/28/2018,10687
alberdi,3/29/2018,7805
alberdi,3/30/2018,5360
alberdi,3/31/2018,7332
alberdi,4/1/2018,6578
alberdi,4/2/2018,6727
alberdi,4/3/2018,11101
alberdi,4/4/2018,10585
alberdi,4/5/2018,10976
alberdi,4/6/2018,10104
alberdi,4/7/2018,9119
alberdi,4/8/2018,6385
alberdi,4/9/2018,10025
alberdi,4/10/2018,10099
alberdi,4/11/2018,10018
alberdi,4/12/2018,10893
alberdi,4/13/2018,11442
alberdi,4/14/2018,8784
alberdi,4/15/2018,6675
alberdi,4/16/2018,10030
alberdi,4/17/2018,9917
alberdi,4/18/2018,10484
alberdi,4/19/2018,11305
alberdi,4/20/2018,10401
alberdi,4/21/2018,9155
alberdi,4/22/2018,6744
alberdi,4/23/2018,10237
alberdi,4/24/2018,10826
alberdi,4/25/2018,10960
alberdi,4/26/2018,10670
alberdi,4/27/2018,10387
alberdi,4/28/2018,8222
alberdi,4/29/2018,4928
alberdi,4/30/2018,8118
alberdi,5/1/2018,6990
alberdi,5/2/2018,9512
alberdi,5/3/2018,10343
alberdi,5/4/2018,9754
alberdi,5/5/2018,8757
alberdi,5/6/2018,6366
alberdi,5/7/2018,9369
alberdi,5/8/2018,9408
alberdi,5/9/2018,10082
alberdi,5/10/2018,9845
alberdi,5/11/2018,10035
alberdi,5/12/2018,9687
alberdi,5/13/2018,6654
alberdi,5/14/2018,9712
alberdi,5/15/2018,10255
alberdi,5/16/2018,9751
alberdi,5/17/2018,10651
alberdi,5/18/2018,10918
alberdi,5/19/2018,9417
alberdi,5/20/2018,6549
alberdi,5/21/2018,9547
alberdi,5/22/2018,10517
alberdi,5/23/2018,11228
alberdi,5/24/2018,10694
alberdi,5/25/2018,7593
alberdi,5/26/2018,8616
alberdi,5/27/2018,6496
alberdi,5/28/2018,9936
alberdi,5/29/2018,10069
alberdi,5/30/2018,10217
alberdi,5/31/2018,10288
alberdi,6/1/2018,10984
alberdi,6/2/2018,9591
alberdi,6/3/2018,6614
alberdi,6/4/2018,10605
alberdi,6/5/2018,10537
alberdi,6/6/2018,10364
alberdi,6/7/2018,10503
alberdi,6/8/2018,11332
alberdi,6/9/2018,9841
alberdi,6/10/2018,6275
alberdi,6/11/2018,9518
alberdi,6/12/2018,10398
alberdi,6/13/2018,10275
alberdi,6/14/2018,10671
alberdi,6/15/2018,10456
alberdi,6/16/2018,7561
alberdi,6/17/2018,6803
alberdi,6/18/2018,10301
